title,genres,description
Apex Legends™,"Action, Adventure, Free To Play","Apex Legends: Breach About the Game Conquer with character in Apex Legends, a free-to-play* Hero shooter where legendary characters with powerful abilities team up to battle for fame & fortune on the fringes of the Frontier. Master an ever-growing roster of diverse Legends, deep-tactical squad play, and bold, new innovations that go beyond the Battle Royale experience — all within a rugged world where anything goes. Welcome to the next evolution of Hero Shooter. KEY FEATURES This game includes optional in-game purchases of virtual currency that can be used to acquire virtual in-game items, including a random selection of virtual in-game items. Note that any unused Apex Coins will expire 180 days after the first date in which they are acquired or purchased. The oldest Apex Coins that are subject to expiration in your balance will always be used first when using them to make in-game purchases. Apex Packs purchase is not available in Belgium."
PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play","LAND Drop into an ever-growing and changing selection of maps to keep you challenged. Will you choose the safer outskirts and risk not getting enough loot or hot drop into the dense cities and fight from the moment you hit the ground? Every drop is different, it's up to you to make the best with what you find. LOOT With unique weapons, a variety of supplies, and special tools to outwit your opponents, how you outfit yourself is up to you! Kit out your favorite weapons with powerful attachments or risk going after the hotly contested Care Packages for unique loot to give you the edge you need to win. SURVIVE Stocking up is only the beginning. With the Safe Zone growing ever smaller as time goes on, your risk of running into other survivors dramatically increases. Die and you're out. You'll need to outthink, outrun, or outshoot your opponents if you're to be the last one standing and claim ultimate victory. MANY WAYS TO PLAY, Warm up in Team Deathmatch, try out constantly changing modes in the Arcade, drop into the latest seasonal event, or build your own custom lobby and challenge your friends to something unique. EVERY MATCH IS UNIQUE No two battles are the same, and everything hinges on the choices you make to land, loot and survive. Drop into the Battlegrounds where victory hinges on every move and every choice, and fight to be the last one standing. Optional in-game purchases available."
Palworld,"Action, Adventure, Indie, RPG, Early Access","Q. What kind of game is this? A. In this game, you can peacefully live alongside mysterious creatures known as Pals or risk your life to drive off a ruthless poaching syndicate. Pals can be used to fight, or they can be made to work on farms or factories. You can even sell them or eat them! Survival In a harsh environment where food is scarce and vicious poachers roam, danger waits around every corner. To survive, you must tread carefully and make difficult choices...even if that means eating your own Pals when the time comes. Mounts & Exploration Pals can be mounted to traverse the land, sea and sky—allowing you to traverse all kinds of environment as you explore the world. Building Structures Want to build a pyramid? Put an army of Pals on the job. Don't worry; there are no labor laws for Pals. Production Make use of Pals and their skills to make fire, generate electricity, or mine ore so that you can live a life of comfort. Farming Some Pals are good at planting seeds, while others are skilled at watering or harvesting crops. Work together with your Pals to create an idyllic farmstead. Factories & Automation Letting Pals do the work is the key to automation. Build a factory, place a Pal in it, and they'll keep working as long as they're fed—until they're dead, that is. Dungeon Exploration With Pals on your side you can tackle even the most dangerous areas. When the time comes, you might have to sacrifice one to save your skin. They'll protect your life—even if it costs their own. Breeding & Genetics Breed a Pal and it will inherit the characteristics of its parents. Combine rare pals to create the strongest Pal of them all! Poaching & Crime Endangered Pals live in wildlife sanctuaries. Sneak in and capture rare Pals to get rich quick! It's not a crime if you don't get caught, after all. Multiplayer Multiplayer is supported, so invite a friend and go on an adventure together! And of course you can battle your friends and trade Pals, too. In online co-op play mode, up to 4 players can play together. Additionally, a dedicated server can allow up to 32 players to play together."
New World: Aeternum,"Action, Adventure, Massively Multiplayer, RPG","The Future of New World: What to Expect A few months ago we shared with you, our valued community, that no additional content would come to New World: Aeternum after the Nighthaven seasonal update. We also said more details on what’s happening next, alongside other essential information, would soon follow. Today, we’re here to share updates and provide transparency on where the game goes from here. New World: Aeternum will officially be taken offline from all platforms on January 31, 2027. On January 15, 2026, the title will be delisted and no longer available for purchase. Players will still be able to play New World: Aeternum on their purchased platform, and we are extending the Nighthaven season until the servers are taken offline on January 31, 2027. We want to thank the players for your dedication and passion. We are grateful for the time spent crafting the world of Aeternum with you. Together we built something special. While we are saddened to say goodbye, we’re honored that we were able to share so much with the community. It has been our pleasure to work on New World: Aeternum and evolve this unforgettable adventure with you all. We look forward to one more year together, and giving this fantastic adventure a sendoff worthy of a legendary hero. From the bottom of all our hearts, thank you for sharing this world with us. NEW WORLD: AETERNUM Season 10: Nighthaven Greetings, Adventurers! With Season 10: Nighthaven, explore a realm hidden from Aeternum for generations. Uncover the fate of the Tear of Gaea, navigate treacherous alliances, and face threats born from darkness itself. Between a mysterious new zone, evolving endgame systems, and a 10-player raid, this season reshapes how you journey and endure. The Nighthaven update will release on Monday, October 13 and will be free for all New World: Aeternum owners About the Game Explore a thrilling, massive and beautiful world filled with danger and opportunity where you'll forge a new destiny for yourself as an adventurer shipwrecked on the supernatural island of Aeternum. Endless opportunities to fight, forage, and forge await you among the island's wilderness and ruins. Channel supernatural forces or wield deadly weapons in a classless, real-time combat system, and fight alone, with a small team, or in massed armies for PvP and PvP battles—the choices are all yours. KEY FEATURES: DISCOVER THE ISLAND OF AETERNUM For thousands of years, Aeternum has been the source of fantastical legends—and now you've found it. Shipwrecked and without supplies or allied, you'll need to make your way in a dangerous world where supernatural power has changed all the rules. PLAY YOUR WAY Play solo or use cross-platform play to team up with others, or compete head-to-head in a variety of PvP battles. Customize the look, skills, and abilities of your character, and experiment with different builds to suit your play style. SWORDS, GUNS & SORCERY Arm yourself with brutal melee weapons, ranged artillery, or supernatural powers and jump into New World's classless, real-time action combat system. As you progress you'll be able to determine what you want your gameplay experience to be like—will you act as a protective shield on the front lines of battle? Will you sling spells to support your allies from a safe distance? Only you can decide. CHOOSE YOUR PLAY STYLE Choose from seven unique starting archetypes. Each archetype has its own play style. From the Destroyer, a mighty slayer, brutally executing foes with a massive great axe and war hammer to the Mystic, a scholar-warrior who seeks to master the forces of life and death. Choose and change at any point in the game. SUMMON YOUR MOUNT Master horses, dire wolves, and lions, each with a unique look, dyeable equipment and a name you can set. Level up your Riding Trade Skill to earn upgrades like increased speeds, buffs and higher tier consumable food for your mount. Customize your experience with accessibility settings before game play. Tailor audio to your preferences with settings for volume controls, mono sounds, stereo sound, and surround sound. Personalize camera comfort settings, subtitle settings, and alter game inputs via key binding options. Finally, ensure no message is missed with chat text-to-speech and speech-to-text. ACCESSIBILITY FEATURES: Customize your experience with accessibility settings before game play. Tailor audio to your preferences with settings for volume controls, mono sounds, stereo sound, and surround sound. Personalize camera comfort settings, subtitle settings, and alter game inputs via key binding options. Finally, ensure no message is missed with chat text-to-speech and speech-to-text."
Black Myth: Wukong,"Action, Adventure, RPG","Digital Deluxe Edition The Black Myth: Wukong Digital Deluxe Edition includes: - Black Myth: Wukong Full Game - Weapon: Bronzecloud Staff - Equipment: Folk Opera Mask, Folk Opera Almsgiving Armor, Folk Opera Leather Bracers, and Folk Opera Buskins - Curio: Wind Chimes - Selected Digital Soundtrack ※ The included weapon, equipment, and curio can be claimed from the Trailblazer's Gift menu at the Keeper's Shrine (Respawn Point) during the early stages of the game. ※ By activating ""Music Library"" on the game's Title Screen, or downloading ""Black Myth: Wukong Soundtrack Selection"" through the platform, you can enjoy a curated list of tracks from the game. We highly recommend that you first experience these pieces as you journey through the game as the Destined One, then return here to relive them to your heart's content. About the Game Black Myth: Wukong is an action RPG rooted in Chinese mythology. The story is based on Journey to the West, one of the Four Great Classical Novels of Chinese literature. You shall set out as the Destined One to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past. • Explore a Land of Vast Wonders ""A world unseen, where wonders gleam, And with each stride, a new scene streams."" Enter a fascinating realm filled with the wonders and discoveries of ancient Chinese mythology! As the Destined One, you shall traverse an array of breathtaking and distinctive landscapes from the classic tale, composing an epic of adventure that is seen anew. • Confront Mighty Foes, Old and New ""Heroic Monkey, might and fame, Adversaries rise, to test his name."" One of the major highlights of Journey to the West is its diverse cast of adversaries, each with their unique strengths. As the Destined One, you will encounter powerful foes and worthy rivals throughout your journey. Fearlessly engage them in epic battles where surrender is not an option. • Temper Your Mastery of Varied Spells ""Spells unbound, talents in play, Unleashed abilities seize the day."" Spells, transformations, and magic vessels of all manifestations, in which some counteract while others amplify, have long been iconic combat elements of Chinese mythology. As the Destined One, aside from mastering various staff techniques, you can also freely combine different spells, abilities, weapons, and equipment to find a winning strategy that best suits your combat style. • Discover Heartfelt Tales Behind Every Facade ""Within all souls, both wild and tame, There thrives a tale of life's fierce flame."" Beneath the ferocity and craftiness of your foes lies an engaging tapestry of their origins, personalities, and motivations waiting to be revealed. As the Destined One, you will uncover the stories behind a variety of characters, delving beyond your battles with them to taste the love, hate, greed, and fury they once held and still carry within."
Grand Theft Auto V Legacy,"Action, Adventure","When a young street hustler, a retired bank robber and a terrifying psychopath find themselves entangled with some of the most frightening and deranged elements of the criminal underworld, the U.S. government and the entertainment industry, they must pull off a series of dangerous heists to survive in a ruthless city in which they can trust nobody, least of all each other. Grand Theft Auto V for PC offers players the option to explore the award-winning world of Los Santos and Blaine County in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second. The game offers players a huge range of PC-specific customization options, including over 25 separate configurable settings for texture quality, shaders, tessellation, anti-aliasing and more, as well as support and extensive customization for mouse and keyboard controls. Additional options include a population density slider to control car and pedestrian traffic, as well as dual and triple monitor support, 3D compatibility, and plug-and-play controller support. Grand Theft Auto V for PC also includes Grand Theft Auto Online, with support for 30 players and two spectators. Grand Theft Auto Online for PC will include all existing gameplay upgrades and Rockstar-created content released since the launch of Grand Theft Auto Online, including Heists and Adversary modes. The PC version of Grand Theft Auto V and Grand Theft Auto Online features First Person Mode, giving players the chance to explore the incredibly detailed world of Los Santos and Blaine County in an entirely new way. Grand Theft Auto V for PC also brings the debut of the Rockstar Editor, a powerful suite of creative tools to quickly and easily capture, edit and share game footage from within Grand Theft Auto V and Grand Theft Auto Online. The Rockstar Editor’s Director Mode allows players the ability to stage their own scenes using prominent story characters, pedestrians, and even animals to bring their vision to life. Along with advanced camera manipulation and editing effects including fast and slow motion, and an array of camera filters, players can add their own music using songs from GTAV radio stations, or dynamically control the intensity of the game’s score. Completed videos can be uploaded directly from the Rockstar Editor to YouTube and the Rockstar Games Social Club for easy sharing. Soundtrack artists The Alchemist and Oh No return as hosts of the new radio station, The Lab FM. The station features new and exclusive music from the production duo based on and inspired by the game’s original soundtrack. Collaborating guest artists include Earl Sweatshirt, Freddie Gibbs, Little Dragon, Killer Mike, Sam Herring from Future Islands, and more. Players can also discover Los Santos and Blaine County while enjoying their own music through Self Radio, a new radio station that will host player-created custom soundtracks."
Unturned,"Action, Adventure, Casual, Indie, Free To Play","STAY UNTURNED You're one of the few not yet turned zombie. Keeping it that way will be a challenge. Go in guns blazing and attract the attention of everything, living and dead. Take a subtle approach sneaking around and making use of distractions. Confront and learn to counter special abilities ranging from invisibility to fire breathing to lightning attacks. STRUGGLE AGAINST NATURE Zombies aside nature does plenty to make life hard. Forage wild fruits and vegetables. Hunt animals for pelts and meat, or in some hostile environments become the prey. Fish for food and garbage. Plant a crop and make sure it gets rain. Seek warmth and take shelter from blizzards. DEAL WITH OTHER PLAYERS Friend or foe there's a lot of interesting people online. Arrest bandits with handcuffs and blindfold them as a non-lethal strategy. Fight with every kind of weapon under the sun - swords, machine guns, snipers, missiles, landmines - you name it. Raid enemy encampments using charges and detonators and steal their loot. For pure PvP play arena mode in a last man standing battle to the death, or PvE for peaceful cooperation. Roleplay servers encourage everyone to stay in character and tell a story together. HELP THE NEW SOCIETY Plenty to do even if you're offline or going solo. Meet, talk and trade with NPCs. Complete quests to aid NPCs and progress the story. Fend off waves of the undead to clear hordes. Secure airdropped supplies. Gear up with gasmasks to scout radioactive deadzones. FORTIFY YOUR STRONGHOLD Somewhere to kick back and chillax or a hideout to direct your gang, whatever floats your boat (in this case sometimes literally). Build with barricades, furniture, traps, machinery and more. Board up the windows of existing structures to survive the night. Craft an entirely new structure from supplies you collect. Turn your vehicle into a moving fortress by building on it. TRAVEL BY LAND, AIR AND SEA Roll out in style with a fully stocked garage. Land vehicles including tanks, quads and snowmobiles. Air vehicles from helicopters to seaplanes to fighter jets. Sea vehicles such as jetskis and hovercraft. Maintain your vehicles with tires, batteries and fuel. EXPLORE MASSIVE WORLDS With 5 officially developed and 1 curated community created sandbox map there's a wide variety of locations to discover: Prince Edward Island (PEI) The Yukon Washington Russia Hawaii Germany MOD EVERYTHING From the ground up Unturned was designed for modding. Download player created content ranging from guns to vehicles to huge levels from the workshop, and upload your own. Build custom maps using the in-game level editor. All of the official maps were created with the same free public tools and their assets are open for you to use. Write plugins using built-in or strong third party systems. Get your apparel and skins upvoted in the workshop for consideration to be accepted and sold. Team up with other modders and put together your own update for consideration to be officially adopted. NEAT STUFF I think these features are neat and they didn't fit anywhere else. There's many more I want to include but for brevity's sake: Most objects can be destroyed to create new pathways. For immersion you can pick a frequency and use two-way radios to communicate with your squad rather than external voice chat programs."
Monster Hunter Wilds,"Action, Adventure, RPG","Deluxe Edition and Premium Deluxe Edition ■Monster Hunter Wilds Deluxe Edition ①main game ②Deluxe Pack ■Monster Hunter Wilds Premium Deluxe Edition ①main game ②Deluxe Pack ③Cosmetic DLC Pack 1 ④Cosmetic DLC Pack 2 ⑤Premium Bonus ②Monster Hunter Wilds Deluxe Pack ・Hunter Layered Armor Set: Feudal Soldier ・Hunter Layered Armor: Fencer's Eyepatch ・Hunter Layered Armor: Oni Horns Wig ・Seikret Decoration: Soldier's Caparison ・Seikret Decoration: General's Caparison ・Felyne Layered Armor Set: Felyne Ashigaru ・Pendant: Avian Wind Chime ・Gesture: Battle Cry, Uchiko ・Hairstyle: Hero's Topknot, Refined Warrior ・Makeup/Face Paint: Hunter's Kumadori, Special Bloom ・Sticker Set: Avis Unit, Monsters of the Windward Plains ・Nameplate: Extra Frame — Russet Dawn *Deluxe Pack Bonus Item ③Monster Hunter Wilds Cosmetic DLC Pack 1 ・Hunter Layered Armor Set: Noblesse ・Hunter Layered Armor: Florescent Circlet ・Seikret Decoration: Purehorn Caparison ・Seikret Decoration: Duskhorn Caparison ・Pendant Set Vol. 1 ・Photo Pose Set Vol. 1 ・Makeup/Face Paint: Monoblos Heart ・Tent Customization Set Vol. 1 ・Camp Gear Set Vol. 1 ・BGM Set Vol. 1 ・Sticker Set: Expedition Pals ④Monster Hunter Wilds Cosmetic DLC Pack 2 ・Hunter Layered Armor Set: Cypurrpunk ・Hairstyle: Wild Braids ・Hairstyle: Futuristic Crop ・Makeup/Face Paint: Drawn Eyelashes ・Makeup/Face Paint: Flames ・Pendant Set Vol. 2 ・Gesture Set Vol. 4 ・Gesture Set Vol. 5 ・Sticker Set: Whimsical Wudwuds ⑤Premium Bonus ・Hunter Layered Armor: Wyverian Ears ・Premium Bonus Hunter Profile Set ・BGM: Proof of a Hero (2025 Recording) *The bonus content listed above may be available by alternative means at a later date. *This content can also be obtained separately. Please be careful of duplicate transactions. *Content details may change without prior notice. *You may need to update to the latest version of the game to use this content. About the Game The unbridled force of nature runs wild and relentless, with environments transforming drastically from one moment to the next. This is a story of monsters and humans and their struggles to live in harmony in a world of duality. Fulfill your duty as a Hunter by tracking and defeating powerful monsters and forging strong new weapons and armor from the materials you harvest from your hunt as you uncover the connection between the people of the Forbidden Lands and the locales they inhabit. The ultimate hunting experience awaits you in Monster Hunter Wilds. Story A few years past, a young boy named Nata was rescued at the border of the Forbidden Lands, an unexplored region the guild has yet to survey. After hearing the boy’s tale of his lone escape from a mysterious monster that attacked his village, the Guild organized an expedition into the Forbidden Lands to investigate. A Living World Environments within the Forbidden Lands can drastically change as the weather shifts constantly and suddenly. During the harsh Fallow and perilous Inclemency periods, ravenous monsters will venture out to hunt in packs, yet during the Plenty periods, wildlife is rich and abundant. Monsters The monsters who inhabit these environments have been forced to adapt to the dynamic changes that occur, using their unique characteristics to survive and thrive. Hunting As the world around them changes, so must the hunters and their tactics. Not only will hunters have a multitude of weapons and armor to choose from, but the art of the hunt itself has evolved as hunters learn to anticipate monsters’ behavior and familiarize themselves with their environment. Characters From hunting partners to fellow expedition members, you’ll encounter plenty of those who will support you on your journey."
Terraria,"Action, Adventure, Indie, RPG","Dig, Fight, Explore, Build: The very world is at your fingertips as you fight for survival, fortune, and glory. Will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics? Perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat? Maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? In the World of Terraria, the choice is yours! Blending elements of classic action games with the freedom of sandbox-style creativity, Terraria is a unique gaming experience where both the journey and the destination are completely in the player’s control. The Terraria adventure is truly as unique as the players themselves! Are you up for the monumental task of exploring, creating, and defending a world of your own? Key features: Sandbox Play Randomly generated worlds Free Content Updates"
Path of Exile 2,"Action, Adventure, Massively Multiplayer, RPG, Early Access","Path of Exile 2 is a next generation Action RPG from Grinding Gear Games, featuring co-op for up to six players. Path of Exile 2 takes place in the land of Wraeclast, a dark continent populated by unique cultures, ancient secrets, and monstrous dangers. A sinister threat, long thought destroyed, has begun creeping back on the edge of civilisation, driving people mad and sickening the land with Corruption. Path of Exile 2 features a brand new campaign with six acts, 100 distinct environments, 600 monsters and 100 bosses. Key Features Twelve Character Classes Path of Exile 2 features twelve character classes, two for every combination of Strength, Dexterity and Intelligence. While each of the class variants focuses on a different playstyle, they're just a starting point. You can combine skills from many classes together to create your ideal character build. Each of the twelve character classes has its own three Ascendancy specialisations, resulting in a total of 36 Ascendancy Classes to pick between. New Skill Gem System Path of Exile 2 features 240 Skill Gems that grant devastating active skills and 200 Support Gems that modify their behaviour. Combine these together to create your perfect build. This is the next generation of Path of Exile's famous skill system. Support Gems are now socketed directly into Skill Gems, removing many of the frustrations present in the old system while maintaining all the previous depth. It's now possible to six-link every skill your character uses. Dual-specialise your Passive Skill Tree Path of Exile's iconic Passive Skill Tree has made a return, with 1,500 skills that allow you to completely customise your gameplay experience. It now features Dual Specialisation, the ability to allocate some passive skill points to two different sets of skills. They engage whenever the appropriate weapon or skill type is used. For example, you can have some points allocated to both daggers and traps, or ice and lightning, and as you swap between attacks, the appropriate skill points will apply. This lets you specialise in multiple areas without opportunity cost. Uncover All-new Items Path of Exile 2 features 700 equipment base types and every single one has its own unique item you can find. You can augment your arsenal with new weapons such as Spears, Crossbows and Flails, as well as supplementary items like Focuses, Traps and redesigned Sceptres. Encounter Unique Bosses In Path of Exile 2, every area of the Campaign contains a boss encounter. There's over a hundred bosses to fight as you make your way through the Acts and they all have unique mechanics to learn. Explore a New Endgame Completing the campaign is just the beginning. The endgame in Path of Exile 2 includes countless areas in different biomes, powerful crafting, challenging bosses, unique encounters and much more. Unlock new paths and explore further into the world. As you progress through the endgame, you will gain access to special passive trees that can boost the rewards of your maps and change the way the various endgame mechanics work. These trees will make your maps more rewarding but also more difficult. Path of Exile 2 introduces sequels to several leagues from Path of Exile. While their mechanics are familiar, the monsters, bosses, rewards and progression are all new. Fair-To-Play. Never Pay-To-Win. Path of Exile 2 is a separate game to the original Path of Exile. We will continue to offer expansions for both games going forward. They will never be ""pay to win"". Purchases are shared between the two games."
