title,genres,description
VRChat,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access","Imagine a space filled with limitless possibilities. Spend your afternoon dogfighting in fighter jets, before winding down in a treehouse that exists floating in a nebula. Make a new best friend while exploring a haunted mansion, right before playing a hand of cards with a robot, alien, and eight-foot tall wolf. In VRChat, there are hundreds of thousands of worlds, millions of avatars – all created by the users . No matter what you’re into, there’s a space in VRChat for you. And if there isn’t, we’ll give you the tools to make your dream a reality. While not required to join in on the fun, VRChat was built to take advantage of VR headsets in many unique ways. That means avatars that flow with your movement, and systems that work alongside various hardware platforms to provide full-body tracking, finger tracking, and much, much more. There’s something magical around every corner. Come take a look, and see what you find. In VRChat, there’s always something to do – and people to meet there. Visit a planetarium and have a chat about astronomy. Go on a virtual hike through a majestic fantasy forest. Pull up to a car meet, and talk shop with some gearheads. Attend a live music event underneath a chemical storage facility, and talk obscure genres with DJs. Once you find your crowd, join their Group, and you'll be able to find them again the next time you're on. Your community – whatever it is – is here. There are thousands of games to play in VRChat. Try running a kitchen in a busy restaurant, or racing go-karts in zero gravity. Fancy a battle royale? We’ve got those, too -- just probably with a wider diversity of avatars than you’ve ever seen before. It doesn’t matter what you like to play: casual card games, shooters, racing, platformers, puzzles, horror, and of course, endless party games. If you want to play it, it probably exists here (and if it doesn't, you can build it yourself). Everything here was built by the community using the VRChat SDK. Combined with Unity and Udon, our in-house scripting language, we give our users as much power as possible to build whatever their imaginations can conjure up. But creation isn’t just limited to worlds. VRChat provides a level of creative freedom that is unmatched anywhere else, and nowhere is that reflected best than on the avatars of our users. In VRChat, you can be anything, and explore your identity however you’d like. Want to be an alien? A talking dog? A sentient shoe with glowing bits that react to the beat of music by changing color? I mean, sure, if that’s what you’re about. Come on in -- hundreds of thousands of worlds (and a whole bunch of new friends!) are waiting for you."
Fall Guys,"Action, Casual, Indie, Massively Multiplayer, Sports","You’re invited to dive and dodge your way to victory in the pantheon of clumsy. Rookie or pro? Solo or partied up? Fall Guys delivers ever-evolving, high-concentrated hilarity and fun. Prefer to be the maverick behind the mayhem? Build your very own obstacle course to share with friends or the wider community. Create your own Course: Fall Guys Creative is a level editor that allows you to create fiendish custom Rounds and share them with the wider community. Competitive & Cooperative: Tumble between competitive free-for-alls and cooperative challenges—or take on the Blunderdome with up to 3 friends! Play with Friends: Fall Guys supports cross-play, cross-platform parties and cross-progression via your Epic Games Account. Ever-Evolving Content: Play stays fresh with new collabs and game updates which bring new Costumes, Obstacles, and ways to play. Gloriously Customizable: Choose from a multitude of Colors, Patterns, Costumes and Nameplates. Relish wins with extravagant Celebrations and share your flair with Emotes! Items shown may require separate purchase from the in-game store and are subject to availability. Contains in-game purchases."
Rocket League®,"Action, Indie, Racing, Sports","Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition. Rocket League includes casual and competitive Online Matches, a fully-featured offline Season Mode, special “Mutators” that let you change the rules entirely, hockey and basketball-inspired Extra Modes, and more than 500 trillion possible cosmetic customization combinations. Winner or nominee of more than 150 “Game of the Year” awards, Rocket League is one of the most critically-acclaimed sports games of all time. Boasting a community of more than 57 million players, Rocket League features ongoing free and paid updates, including new DLCs, content packs, features, modes and arenas. What's New: Rocket Pass - Purchase Rocket Pass Premium to get an initial 50% XP bonus and earn up to 70 unique rewards, including a new Battle-Car, Goal Explosion, Keys, and more! Challenge System - Play Online Matches and complete Weekly Challenges to tier up and unlock unique rewards only found in Rocket Pass. Esports Shop - Show off your team pride for your favorite teams in Rocket League Esports! The Rocket League Esports Shop pilot program brings new Decals, Wheels, and Player Banners that represent some of the best teams in the sport. of the best teams in the sport. SteamOS and Mac Beta Versions As we continue to upgrade Rocket League® with new technologies like DirectX 11 and a 64-bit client, it is no longer viable for us to maintain support for the macOS and Linux (SteamOS) platforms. As a result, the final patch for the macOS and Linux versions of Rocket League was released on March 10, 2020. This update disabled online functionality (such as Casual and Competitive Playlists) for players on macOS and Linux, but offline features including Local Matches, and splitscreen play are still accessible. Please note that Rocket League® on SteamOS and macOS may have bugs and stability issues not seen in the Windows version of the game, and these issues may not be fixed in future updates. NOTE: Because of agreements with our online service provider, there are certain regions that are unable to connect to Rocket League®’s online multiplayer component. As a result, server access is restricted in China, Crimea, Cuba, Iran, North Korea, Sudan, and Syria. Apologies to our customers in those regions. Software and online features are subject to license, terms of use, and privacy policy ( , , and )."
eFootball™,"Simulation, Sports, Free To Play","■ ""eFootball™"" - An Evolution from ""PES"" It's an all-new era of digital soccer: ""PES"" has now evolved into ""eFootball™""! And now you can experience the next generation of soccer gaming with ""eFootball™""! ■ Welcoming Newcomers After downloading, you can learn the basic controls of the game via a step-by-step tutorial that includes practical demonstrations! Complete them all, and receive Lionel Messi! We have also added the Smart Assist setting to help users enjoy the fun and excitement of playing matches. Without entering complex commands, get past the opposing defense with a brilliant dribble or pass, then score a goal with a powerful shot. [Ways of Playing] ■Start Off With Your Favorite Team Whether it's a club or national side from Europe, the Americas, Asia, or elsewhere around the world, begin a new game with the team you support! ■ Sign Players After creating your team, it's time to get some signings in! From current superstars to soccer legends, sign players and take your team to new heights! ・ Special Player List Here you can sign special players such as standouts from actual fixtures, players from featured leagues, and legends of the game! ・ Standard Player List Here you can handpick and sign your favorite players. You can also use the Sort and Filter functions to narrow your search. ・ Manager List Here you can sign managers who are adept at all sorts of tactical approaches with different Coaching Affinities. ■ Playing Matches Once you have built a team with your favorite players, it's time to take them to the field. From testing your skills against the AI, to competing for ranking in Online Matches, enjoy eFootball™ the way you like! ・ Sharpen your skills in VS AI Matches Enjoy various Events pitting you against clubs from popular leagues or national teams, or featuring different themes based on the current soccer season. Take on eFootball™ League as well to level up your skills in a division-based format with 10 tiers. ・ Put your strength to the test in User Matches Have a blast playing real-time matches online through various weekly Events or eFootball™ League, where all users compete for the highest ranking in a division-based format. Lead your very own Dream Team and take aim at the pinnacle of eFootball™ League in Division 1. ・ Max 3 vs 3 matches with friends Use the Friend Match feature to play against your friends. Show them the true colors of your well-developed team! Cooperative matches up to 3 vs 3 are also available. Get together with your friends and enjoy some heated soccer action! ■ Player Development Depending on Player Types, signed players can be further developed. Level up players by putting them in matches or using in-game items, then spend the Progression Points acquired to increase Player Stats. In case you prefer to customize a player to fit your personal preferences, you have the option to allocate the Progression Points manually. When in doubt about how to develop the player, you can use the [Recommended] function to automatically allocate his Points. Develop your players to your exact liking! [For More Fun] ■ Weekly Live Updates The Live Update is the feature that reflects player transfers and match achievements from soccer in real life. Take note of the Live Updates released each week, adjust your squad, and make your mark out on the field. ■ Customize a Stadium Choose your favorite Stadium Elements, such as Tifos and Giant Props, and watch them appear at your stadium during the matches you play. Add color to the game by arranging your stadium however you like! *Users with one of the following nations as their Country/Region of Residence will not have access to loot boxes that require eFootball™ Coins as payment. Belgium, Brazil (users under 18 years of age) *eFootball™ Coins can be purchased in-game and can be used in various ways, such as signing randomly selected players or acquiring Manager Packs. *The description above may be changed in future updates. [For the Latest News] New features, modes, events, and gameplay improvements will be continuously implemented. For more information, see the official eFootball™ website."
Street Warriors Online,"Action, Massively Multiplayer, Simulation, Sports","This is the first, realistic PvP brawling game for up to 8 vs 8 players with original, dynamic combat system and fast, round based battles. Create and develop Your character while earning new skills and items that helps You beat Your opponents. Gather Your friends and fight together in a clan. Compete with players from around the world using hand-to-hand combat. No shooting or magic but a hail of swift blows of kicks and punches ! Easy, one-click matchmaking finds the best suitable battle for Your character. Use dynamic combat system with intuitive action keys. In Street Warriors Online You can dynamically attack or block incoming attacks as opposed to mmo games. You can provide standard, special or sprint attacks that causes different hit reactions of Your enemies. Take part in battles up to 8 vs 8 participants in 3 different game modes. Fight on many battle arenas of different player capacities ( 2v2, 4v4, 8v8 ) Select one of 3 game modes: - Skirmish: Beat up all enemies to win a round. Win three rounds to win the battle ! - Conquest: Capture bases by spraying over Your team's graffiti. Captured base generates points. Reach points limit to win. - Capture The Bag: Capture the bag and deliver it to Your van. Reach bags limit to win the battle. Gain experience and respect to develop Your characters. Each finished battle gives You Experience as well as Respect Points reward. The reward is proportional to Your involvement in the battle. Respect points is Your primary currency. Buy different items such as clothes, power cards or new attacks. Level Up to obtain attribute points and develop character to match Your play style. Higher levels unlocks new items and attacks ! Configure appearance and combat style to make Your characters become unique ! Compose Your appearance from over 150 clothing parts of 7 categories per character class. Prepare preferable attack sequence ( rotation ) that suits Your combat tactics. Spend Your attribute points to achieve best fighting results. Buy and socket different Power Cards that alters Your combat skills. Own up to 8 characters with different class and attributes build. Get new characters for golden currency or from the golden premium bundle. There are 3 different character classes to choose from: Swarmer, Slugger and Bruiser Swarmer is a female class with extended speed and energy regeneration Bruiser is a slow heavy fighter with increased damage and health Slugger is the most balanced class Use elements of the environment as weapons to gain temporary advantage. On almost every arena You can find different items that can be used as weapons. You can throw heavy objects like garbage bins or tires to hit many enemies at once and make them fall. There are also objects like baseball bats, pipes and planks that You can use as one handed weapons. Throw bricks, stones and bottles at Your enemies to stun them and make vulnerable to Your attacks. Use energy drinks to scramble out from critical situations or get temporary power-up. There are 8 different energy drinks so far. You can take 2 different drinks on a battle and trigger them when desired. If You have more drinks of a kind - drink will be available again after You re-spawn. Team up with Your friends and play together ! Play together with Your friends in up to 8-person group on free for all battles. You can create and customize Your unique clan of warriors and fight against others to climb up in the global rankings ! Higher clan ranking enables all members to buy special, unique rewards."
NBA 2K20,"Simulation, Sports","NBA 2K20 Digital Deluxe The NBA 2K20 Digital Deluxe Edition includes the following digital items: 35,000 Virtual Currency 10,000 MyTEAM Points 10 MyCAREER Skill Boosts MyPLAYER Clothing Capsule 10 MyTEAM League Packs (delivered one a week) 10 MyTEAM Heat Check Packs (delivered one a week beginning at the start of the NBA season) 1 Sapphire MyTEAM Cover Athlete Card NBA 2K20 Legend Edition The NBA 2K20 Legend Edition includes the following digital items: 100,000 Virtual Currency 50,000 MyTEAM Points 20 MyCAREER Skill Boosts MyPLAYER Clothing Capsule MyPLAYER Apparel Collection ‘Pick 10’ MyPLAYER Shoe Collection (10 shoes, user choice) 20 MyTEAM League Packs (delivered one a week) 20 MyTEAM Heat Check Packs (delivered one a week beginning at the start of the NBA season) 5 MyTEAM Themed Packs (one per theme release across the first five releases) 2 Sapphire MyTEAM Cover Athlete Cards About the Game NOTE: All multiplayer servers for NBA 2K20 will be shutdown as of 12/31/2021. After that time, all game functions requiring online servers will no longer function. WELCOME TO THE NEXT NBA 2K has evolved into much more than a basketball simulation. 2K continues to redefine what’s possible in sports gaming with NBA 2K20, featuring best in class graphics & gameplay, ground breaking game modes, and unparalleled player control and customization. Plus, with its immersive open-world Neighborhood, NBA 2K20 is a platform for gamers and ballers to come together and create what’s next in basketball culture. BEST IN CLASS GAMEPLAY Take your skills to the next level with the most realistic player control ever, featuring an upgraded motion engine with signature styles, advanced shooting controls, a new dribble size-up system, refined off-ball collisions, and a new read & react defensive game. MyCAREER Up-and-coming visionary Sheldon Candis directs the most visually stunning MyCAREER cinematic experience to date. A star-studded cast including Idris Elba, Rosario Dawson, and NBA all-stars past and present bring the journey to life in a completely new and immersive way. THE NEXT NEIGHBORHOOD Experience a more vibrant, active Neighborhood. Access even more 2K Compete Events, unlock animations with the new Show-Off Stick, play a round on the 9 hole Disc Golf course, and earn more exclusive gear than ever before. BRING YOUR GAME & REP UP The Park remains the center stage where players hone their skills and battle to be the best. And with the return of Park Rep, everyone will know who’s legit and who needs a seat on the bench. Unlock exclusive items as you rep up, and use them on any of your MyPLAYER builds! Tons of new prizes available with the new and improved Rep system. MyPLAYER BUILDER More control than ever before. The new MyPLAYER Builder allows you to make decisions on every aspect of your MyPLAYER’s potential, including choosing your own Takeover. With over 100 archetypes and 50 new badges, the combinations are nearly endless. WELCOME TO THE WNBA For the first time, all 12 WNBA teams and over 140 players are in the game and ready to run in Play Now and Season modes. Complete with gameplay animations, play styles, and visuals built exclusively for the women’s game. MyTEAM NBA 2K’s fantasy card collector. Master MyTEAM with daily goals, card-leveling, a reimagined Triple Threat, limited-time events, and even more prizes. Enjoy a simplified user experience that both veterans and rookies will appreciate, and stay connected to the community with Locker Codes, Leaderboards, Developer Tips, Team of the Week, and more. DYNAMIC SOUNDTRACK In collaboration with Steve Stoute and United Masters, this year’s soundtrack features a diverse array of top songs from both well-known and up-and-coming artists from across the globe. LEGENDARY TEAMS Play with over 10 new legendary teams from the past, including the 2009-10 Portland Trail Blazers, 2015-16 Cleveland Cavaliers, 2013-14 San Antonio Spurs, 2002-03 Phoenix Suns, and All-Decade teams from every era of NBA history. Over 100 total legendary teams to choose from. NEXT LEVEL PRESENTATION Dynamic, broadcast-quality gameplay presentation featuring the deepest roster of talent in sports videogame history, led by Kevin Harlan, Ernie Johnson, and many more. It’s an audio experience unlike any other, with over 60,000 new lines of dialogue, all-new studio shows and game intros, MyPLAYER interviews, records and milestone coverage, and over 2,000 arena specific crowd reactions and sounds. MyGM/MyLEAGUE Think you can build the next dynasty? Take full control of a franchise and develop a champion from the ground up. Featuring new skill trees, a revamped relationship system, simulator customization, revised scouting, and more. 2KTV – SEASON 6 Hosted by Alexis Morgan & Chris Manning, NBA 2KTV returns for another season as the hub for all things NBA 2K. Featuring members of the 2K community, exclusive interviews with NBA & WNBA stars, the latest 2K20 news, tips & insights directly from developers, and your weekly Top Plays!"
EA SPORTS™ FIFA 23,"Simulation, Sports","Join the Club with EA SPORTS FC™ 24 Highlights About the Game The World’s Game Experience the pinnacle of women’s international football in EA SPORTS™ FIFA 23 with the FIFA Women’s World Cup Australia and New Zealand 2023™ available on June 27th at no additional cost*. Rep your country’s colors and live the tournament in the most immersive EA SPORTS™ FIFA Women’s World Cup™ experience yet, complete with each of the 32 qualified nations, custom stadium dressings, cinematics, match presentations, dedicated commentary, and of course, the authentic trophy to hoist at the end. EA SPORTS™ FIFA 23 brings The World’s Game to the pitch, with HyperMotion2 Technology that delivers even more gameplay realism, both the men’s and women’s FIFA World Cup™ coming to the game as post-launch updates, the addition of women’s club teams, cross-play features**, and more. Experience unrivaled authenticity with over 19,000 players, 700+ teams, 100 stadiums, and over 30 leagues in FIFA 23."
EA SPORTS FC™ 24,"Simulation, Sports","This game includes optional in-game purchases of virtual currency that can be used to acquire virtual in-game items, including a random selection of virtual in-game items. FC Points not available in Belgium."
Assetto Corsa,"Indie, Racing, Simulation, Sports","NEXT GENERATION RACING SIMULATOR Assetto Corsa features an advanced DirectX 11 graphics engine that recreates an immersive environment, dynamic lighthing and realistic materials and surfaces. The advanced physics engine is being designed to provide a very realistic driving experience, including features and aspects of real cars, never seen on any other racing simulator such as tyre flat spots, heat cycles including graining and blistering, very advanced aerodynamic simulation with active movable aerodynamics parts controlled in real time by telemetry input channels, hybrid systems with kers and energy recovery simulation. Extremely detailed with single player and multiplayer options, exclusive licensed cars reproduced with the best accuracy possible, thanks to the official cooperation of Car Manufacturers. ASSETTO CORSA has been developed at the KUNOS Simulazioni R&D office, located just inside the international racing circuit of Vallelunga, allowing the team to develop the game with the cooperation of real world racing drivers and racing teams. LEGENDARY TRACKS The circuits have been developed using Laser scan technology, in order to guarantee the highest level of accuracy possible in reproducing real world motor racing environments. Monza, Silverstone, Imola, Mugello, Spa, Brands Hatch and many more tracks, including the historical reproduction of Monza, that brings again to life the legendary Sopraelevata, the high-speed oval where races were staged until 1961. EXCLUSIVE CARS The Assetto Corsa physics engine is all new, using practical knowledge acquired from working closely with the elite of motorsport in order to engineer the best possible accuracy of physics and tactility of feeling. A physics engine like this begs to be used with officially licensed contents: Abarth, Audi, BMW, Classic Team Lotus, Ferrari, KTM, Lamborghini, Lotus cars, McLaren, Mercedes, Scuderia Glickenhaus, Pagani, Porsche, Tatuus and many more! HARDWARE COMPATIBILITY Enjoy ASSETTO CORSA using any kind of game device: keyboard, joypad, joystick, steering wheels including any kind of professional device and the most common motion systems. ASSETTO CORSA is also compatible and ready for Oculus and OpenVR/VIVE, triple monitor view, Track IR and 3D VISION. GAMEPLAY & FEATURES Assetto Corsa includes a career mode, a list of special and unique events and challenges, as well as a fully customizable, single player and multiplayer modes featuring quick races, custom championships, race weekends including free practice session, qualifying session and race. Drag races, drift challenges and much more! Four driving assist profiles (gamer, racer, pro, plus a fully-customizable profile) allow any kind of player to enjoy the simulation at their desired level. Advanced setup options and telemetry for data analysis; dynamic simulation of the tyre rubber deposited on track, depending on the car laps; an adjustable time of the day mode, featuring sun position calculated in realtime, depending by geographical coordinates of the track and by the sun curve according to time and date, in order to get the same light conditions of the real tracks! MODDING & CUSTOMIZATION Assetto Corsa will allow for considerable customisation and modification, in order to satisfy the expectations of professional simracers, gamers who prefer to approach the driving experience more progressively, and hobbyists who just like to reproduce and share their cars and tracks, taking advantage of the same editing tools developed and used by the developers of the game. Available content: CARS PRODUCTION - Abarth 595 EsseEsse (3 variants) - Abarth 500 EsseEsse (2 variants) - Alfa Romeo 33 Stradale - Alfa Romeo Giulia Quadrifoglio - Alfa Romeo Giulietta QV - Alfa Romeo Giulietta QV Launch Edition - Alfa Romeo MiTo QV - Audi Sport Quattro (2 variants) - Audi S1 - Bmw 1M (2 variants) - Lamborghini Miura S.V. - Lotus Elise SC (3 variants) - Maserati Alfieri - Maserati Quattroporte GTS - Maserati Levante S - Mazda MX-5 NA - Porsche Panamera G2 - Porsche Cayenne Turbo S - Porsche Macan Turbo - Shelby Cobra - RUF CTR Yellowbird - Toyota GT-86 - Ford Mustang 2015 - Chevrolet Corvette C7 Stingray GT - Bmw M3 E30 Evo (3 variants) - Bmw M3 E30 Group A - Bmw M3 E30 DTM - Bmw M3 E92 (3 variants) - Bmw Z4 E89 (3 variants) - Lotus Evora GTC - Lotus Evora GX GTR - McLaren MP4-12c GT3 - Bmw Z4 GT3 - Bmw M3 GT2 - Ferrari 458 GT2 - P4/5 Competizione - Mercedes SLS GT3 CLASSIC GP - Classic Team Lotus Type 49 - Classic Team Lotus 98T - Ferrari 312T RALLY - Audi Sport Quattro S1 E2 ENDURANCE - Mazda 787B SUPERCAR - Audi R8 Plus - Ferrari LaFerrari - Ferrari 458 Italia (2 variants) - Ferrari F40 (2 variants) - Ferrari 599xx - Lamborghini Huracán Performante - Lamborghini Sesto Elemento - McLaren Mp4 12c - Mercedes SLS AMG - Nissan GTR NISMO - Pagani Zonda R - Pagani Huayra - Pagani Huayra BC - Lotus Evora S (2 variants) - Lotus Exige S Roadster - Lotus Exige Scura - Lotus 2 Eleven GT4 TRACKDAY - KTM X-Bow R - Lotus 2 Eleven - Lotus Evora GTE - Lotus Evora GTE Carbon - Lotus Exige 240R (2 variants) - Lotus Exige V6 Cup OPEN WHEEL - Tatuus FA-01 - Lotus Exos T125 (2 variants) TRACKS - Laguna Seca - Magione - ""Autodromo dell'Umbria"" - Imola - ""Autodromo Enzo e Dino Ferrari"" - Mugello - ""Autodromo Internazionale del Mugello"" - Silverstone - GP - Silverstone - International - Silverstone - National - Silverstone 1967 - Monza - ""Autodromo di Monza"" - Monza - ""Classic 60's Edition"" (3 variants) - Nurburgring - GP - Nurburgring - Sprint - Spa Francorchamps - Vallelunga - ""Autodromo Piero Taruffi"" - Vallelunga - Circuito Club - Zandvoort - Trento - Bondone Hillclimb - Drift Track - Drag strip - Black Cat County (fantasy track) - Highlands (fantasy track) SHOWROOMS - Standard showroom - The Beach - Hangar - Industrial - Sunset GAME MODES - Free Practice - Racing against AI - Career - Custom championship - Online Multiplayer - HotLap - Time Attack - Special Events - Drift - Drag race FEATURES - In game telemetry and apps - Advanced car setup management - Flags - Penalties APPS LIST - Basic info - Chat app - Tyre app - Real time app - Help - Lap time - Pit stop presets - Friends Leaderboard - Camera On Board Customization - Time of the day display - Input monitor - Time performance indicator - Gear/rpm indicator - Track map - Rankings - G-meter indicator"
theHunter Classic,"Action, Adventure, Free To Play, Simulation, Sports","The most realistic online hunting game ever created is available now, for free! Experience the thrill of the hunt in vast, open-world environments ranging from the desolate Australian outback and overgrown swamps of Louisiana to the dramatic landscape of the Austrian Alps. As a hunter, you will use everything from crossbows to handguns and state of the art bolt action rifles to track, spot and harvest your prey. Realistic animal behaviors and persistent online features provide a living, open world where you can explore at your own pace or compete with other players for bragging rights. Key Features theHunter Classic was first released in 2009, and is still continuously updated with new weapons, species, environments, equipment and features. There’s a treasure trove of content for hunters to discover here, and more is still coming! Explore 12 vast and endlessly varied environments with detailed graphics, complete with a full day cycle and immersive weather effects - from the sub-arctic Alaska to the swamps of Louisiana. Form a hunting team and experience co-op multiplayer with up to 7 friends (or complete strangers). Hunt 45 lifelike species, all recreated in painstaking detail from looks to behaviours: Bison, Moose, Red Deer, Rocky Mountain Elk, Roosevelt Elk, Alpine Ibex, Bighorn Sheep, Blacktail Deer, Feral Hog, Mule Deer, Reindeer, Roe Deer, Sitka Deer, Whitetail Deer, Wild Boar, Feral Goat, Dall Sheep, American Black Duck, Gadwall, Mallard, Pintail, Rock Ptarmigan, White-tailed Ptarmigan, Willow Ptarmigan, Cottontail Rabbit, European Rabbit, Snowshoe Hare, Pheasant, Turkey, Canada Goose, Black Bear, Brown Bear, Grizzly Bear, Polar Bear, Red Kangaroo, Grey Wolf, Coyote, Red Fox, Arctic Fox, Bobcat, Water Buffalo, Rusa Deer, Sambar Deer, Banteng and Magpie Goose. Occasionally, on Halloween night, some players swear they saw Werewolves too! Extensive online features. Increase your skills, increase your stats and get creative with Trophy Shots. Take part in competitions and climb the leaderboards or go on challenging missions to earn achievements. Join the biggest and friendliest online hunting community. We are all about helping and sharing our achievements. Show off that incredible set of antlers, proudly mounted in your private Trophy Lodge, or check out other accomplished hunters’ hauls for inspiration. Having trouble tracking and harvesting that big one? Ask the community, many of whom are real-life hunters, and get a helping hand. Progressing and Acquiring Items in the Game In theHunter Classic, a generous amount of content is available for free. Right at the outset two weapons (.243 Bolt-Action Rifle & 12 GA Single Shot shotgun) and a great equipment loadout is available at no cost. Additional items such as weapons, equipment, clothing and ammunition can be acquired with gm$, in-game currency that can be earned through playing the game, or em$, in-game currency that can be purchased for real-life money or earned through winning in-game competitions. By hunting certain species and using certain items in the game, you are able to hone your skills and improve as a hunter. As these skills increase, more abilities unlock. With time and practice, you will be able to tell weight and gender from a simple animal track, and develop steadier aim for a range of weapons. Achievements can be earned through diverse in-game activities. Each achievement adds to your HunterScore, which can be used to track and compare your progress with other hunters. Increasing your HunterScore also unlocks upgrade items such as pouches and holsters for your rifles."
